loan_id,annual_income,monthly_debt,loan_amount,total_credit_limit,credit_used,total_delinquencies_12m,open_credit_accounts,credit_history_years,oldest_account_age,late_payments_90d,hard_inquiries_last_6m,default
LN100000,0.37265276656951396,0.013182812816367512,0.13886971177914612,10000,3149.6434500512373,0.0,10.0,0.5,6.313200098286084,0.0,4.0,0
LN100001,0.277712792016944,0.007619984369896014,0.07712411713705437,10000,4210.962658568964,0.0,10.0,8.980003504823305,6.883349141476026,0.0,3.0,0
LN100002,0.17929145641279393,0.006680896911597487,0.032145247051164366,10000,2915.160158000077,1.0,10.0,14.583409702901053,10.94586505228478,0.0,6.0,0
LN100003,0.2068171503464279,0.00996952557003961,0.04277312686026661,10000,3884.076940721919,1.0,10.0,6.894813313802964,,0.0,1.0,1
LN100004,0.0971293967443359,0.0025486510379698632,0.009434022582521866,10000,712.770666092428,0.0,10.0,2.5927474564251183,8.201624258355645,0.0,1.0,0
LN100005,0.2778026219345783,0.007289528216438543,0.0771740189511043,10000,4926.587414745877,0.0,10.0,2.8963841074551384,15.04348163093617,0.0,2.0,0
LN100006,0.0746304756833283,0.0036499397527619683,0.0055696332702441734,10000,4502.410950724448,0.0,10.0,7.839522005674704,4.535441228703482,0.0,0.0,0
LN100007,0.3318443669156956,0.012862155183101935,0.11012035200931189,10000,2865.822737863618,0.0,10.0,7.15640842754473,6.2163042916355575,1.0,2.0,0
LN100008,0.1873129141574848,0.004364060637696161,0.035085940497255115,10000,5818.49133686481,1.0,4.0,5.147129668339985,3.7379737268259934,1.0,0.0,0
LN100009,0.0827173037950399,0.0029735768267597088,0.006842069629817127,10000,6375.140275253118,0.0,10.0,8.260213112637556,8.41358176796101,0.0,1.0,0
LN100010,0.38167085440294624,0.008921153752237914,0.14567225942982057,10000,1284.880271262051,0.0,10.0,0.5,7.673156378431812,0.0,0.0,0
LN100011,0.5207683265335971,0.012157359885767154,0.2711991291522766,10000,2974.5504428675717,1.0,12.000000000000005,8.262186381693372,12.144950012537752,0.0,1.0,0
LN100012,0.30247946106062995,0.00973717533302212,0.0914935218840681,10000,2961.7153004254037,1.0,5.0,6.713283493784679,16.413989895803503,0.0,1.0,1
LN100013,0.2157504996467037,0.0011328332969985984,0.046548062347302646,10000,2620.193797782271,0.0,10.0,3.012156027650303,14.96220292716588,1.0,1.0,0
LN100014,0.1347927986219516,0.0010251253510068065,0.018168963767539372,10000,6158.949683863497,0.0,10.0,1.7000282148579462,4.108650138575733,1.0,0.0,0
LN100015,0.28142115345261415,0.006230121912563556,0.07919758418944635,10000,4112.347722454393,1.0,9.0,6.363981848236882,9.213439458102702,0.0,0.0,0
LN100016,0.32640893160797885,0.0053877964566368215,0.10654246422453062,10000,3970.970317378778,0.0,10.0,10.22171441030329,12.097521911638392,0.0,0.0,0
LN100017,0.2508281781794767,0.008301097937725979,0.06291452414065714,10000,492.275271186493,0.0,10.0,5.315720304008897,11.673812038795464,0.0,0.0,0
LN100018,0.3574535507592085,0.006368523189186439,0.12777268349681528,10000,5770.836060418453,1.0,4.0,3.441944951301481,18.25767183661661,1.0,0.0,0
LN100019,0.4316677625244877,0.004969735005791835,0.18633662553513497,10000,2021.483210293055,0.0,10.0,6.573864780408758,8.120711072076281,1.0,2.0,0
LN100020,0.0988384159211976,0.0046935671637481765,0.009768933623395726,10000,4619.865260532657,0.0,10.0,11.462615430370422,9.312369309508975,0.0,1.0,0
LN100021,0.2852869162062889,0.00751573058287174,0.08138833927157789,10000,5054.753875916384,0.0,10.0,7.293899439191149,17.963357097225806,2.0,1.0,1
LN100022,0.021601160069213,0.0006482674298351759,0.000466588515175693,10000,7221.317191677303,1.0,6.000000000000003,7.618205964628224,10.679667526263549,0.0,1.0,0
LN100023,0.15231514342101987,0.0017298909624221543,0.023199750600222436,10000,1882.359201761775,0.0,10.0,9.668395907911668,6.611614984426453,0.0,2.0,0
LN100024,0.336384674954017,0.007522194613159006,0.11315431315924472,10000,100.0,0.0,10.0,7.417672198151467,5.100830691801738,0.0,1.0,0
LN100025,60000.0,1833.1919422823994,14663.003457213823,10000,4867.699089507389,0.0,10.0,3.657090878519537,9.836298470307597,0.0,2.0,0
LN100026,0.056693189652017494,0.0008378826501873012,0.0032140610597299717,10000,8101.022363021708,0.0,10.0,0.7663051443058917,13.26641875587984,0.0,1.0,0
LN100027,0.3759903396812478,0.012732120226561736,0.14136835954328042,10000,6977.892705878874,0.0,10.0,3.235040640665213,13.21505060035927,0.0,1.0,0
LN100028,0.1848129452742033,0.00400280500387843,0.03415563992798039,10000,4919.318830549252,4.0,5.0,2.6858210847069754,5.511403041843032,0.0,2.0,0
LN100029,0.3521074674509767,0.008985956790099451,0.1239793165272732,10000,3516.727628735905,1.0,2.0,7.977924358533983,9.413113144163782,0.0,2.0,0
LN100030,60000.0,1298.720040827952,18691.310218091876,10000,,1.0,2.0,8.395044154047323,7.196618406591135,0.0,1.0,0
LN100031,0.1500256662711291,0.007849364458954983,0.02250755051442993,10000,2552.907600591063,0.0,10.0,6.526716185146464,8.408253601584887,1.0,1.0,0
LN100032,0.3542697341396734,0.010273096517996332,0.12550669025766073,10000,5452.7155387124385,1.0,6.000000000000003,2.193924069470481,12.622281582407243,1.0,0.0,0
LN100033,0.28823499682393505,0.004595987745928371,0.08307912515909703,10000,5510.940318333254,0.0,10.0,11.359791071780087,8.800334355910975,1.0,2.0,0
